Complete_name,Kernel color,S6_82170011,S6_82170814,S6_82170859,S6_82170897,S6_82170900,S6_82170957,S6_82171038,S6_82174349,S6_82174376,S6_82174378,S6_82176123,S6_82185767,S6_82185973,S6_82186654,S6_82186661,S6_82217770,S6_82217918,S6_82218018,S6_82218044,S6_82218219,S6_82243856,S6_82243861,S6_82243874,S6_82243883
PI406110:81N4HABXX:3:G3,1,0.799,1,0.799,0.799,0.799,1,1,0.799,0.799,0.799,0.799,1,0.799,0.799,0.799,0,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
PI635128:81N4HABXX:4:H6,1,0.799,0.799,0.799,0,1,0,0.799,1,1,1,1,0.799,0.799,1,1,0.799,1,0.799,0.799,0.799,0.799,0.799,0.799,0.799
Ames22749:81N4HABXX:7:C7,0,0.819,0.819,1,0,1,0.819,0.819,0.819,0.819,0.819,1,0.819,0,1,1,1,1,1,1,0.819,0.819,0.819,0.819,0.819
Ames26004:81N4HABXX:5:G11,0,0.823,1,1,0,1,1,1,1,1,1,0.823,0,0,1,1,1,1,1,1,0.823,0.823,0.823,0.823,0.823
Ames28946:81FE7ABXX:2:C8,0,0.823,1,1,0,1,0.823,0.823,1,1,1,1,0,0,1,1,1,1,1,1,1,0.823,0.823,0.823,0.823
Ames22026:81FE7ABXX:2:G5,0,0.835,0.835,0.835,0.835,0.835,1,0.835,1,1,0.835,0.835,1,0.835,0.835,0.835,0,1,0.835,0.835,0.835,0.835,0.835,0.835,0.835
CIze49:81FENABXX:3:C10,0,0.835,1,1,0,1,0,1,0.835,0.835,0.835,1,1,1,1,1,0.835,1,0.835,0.835,0.835,0.835,0.835,0.835,0.835
PI340874:81FE8ABXX:7:B10,0,0.835,1,1,0,1,0.835,0.835,0.835,0.835,0.835,1,0,0.835,1,1,1,1,1,1,0.835,0.835,0.835,0.835,0.835
PI635141:81N4HABXX:5:B4,0,0.846,0.846,1,0,1,0.846,1,1,1,1,1,1,0.846,0.846,0.846,0,1,1,1,0.846,0.846,0.846,0.846,0.846
PI601332:81FE8ABXX:1:C11,1,0.85,0,1,0.5,1,1,1,1,1,1,0.85,1,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PI358523:81FE8ABXX:6:F10,0,0.858,0.858,0.858,0.858,0.858,1,1,0.858,0.858,1,0.858,0.858,1,0.858,0.858,0,1,0.858,0.858,1,0.858,0.858,0.858,0.858
PI601574:81FENABXX:4:G9,0,0.858,1,0.858,0.858,0.858,1,1,0.858,0.858,1,1,0,0.858,0.858,0.858,0.858,1,0.858,0.858,0.858,0.858,0.858,0.858,0.858
Ames23497:81FE8ABXX:5:H3,1,0.858,1,0.858,0.858,0.858,1,1,0.858,0.858,1,1,1,0.858,0.858,0.858,0,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858
Ames24736:81FENABXX:3:F3,1,0.858,1,0.858,0.858,0.858,1,0.858,0.858,0.858,1,0.858,1,0.858,0.858,0.858,0,1,0.858,0.858,1,0.858,0.858,0.858,0.858
PI601560:81N4HABXX:6:H5,1,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,0.858,1,1,0.858,1,1,0,0.858,1,1,0.858,0.858,0.858,0.858,0.858
PI601502:81N4HABXX:6:B5,1,0.874,0.874,0.874,0.874,0.874,1,1,1,1,0.874,0.874,1,0.874,0.874,0.874,1,1,0.874,0.874,0,0.874,0.874,0.874,0.874
PI200185:81N4HABXX:7:A5,0,0.882,0.882,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.882,0.882,0.882,0.882,0.882
Ames22014:81FE7ABXX:1:F9,1,0.89,0.89,1,0,1,1,0.89,0.89,0.89,0.89,1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1,1,1,1
Ames24727:81FE8ABXX:5:C7,1,0.89,0.89,1,1,1,1,1,0.89,0.89,0.89,1,0.89,0.89,1,1,0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
Ames24743:81FE8ABXX:6:D4,1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1,1,1,1,1,0.89,0.89,0.89,0,1,1,1,0.89,0.89,0.89,0.89,0.89
PI522250:81FENABXX:6:A8,1,0.89,0.89,1,1,1,0.89,1,0.89,0.89,0.89,1,0.89,0.89,0.89,0.89,0,1,1,1,0.89,0.89,0.89,0.89,0.89
CIze23:81FENABXX:4:G6,0,0.902,1,1,0,1,0.902,1,1,1,1,1,0.902,0.902,0.902,0.902,0.902,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902
PI340836:81FE7ABXX:4:H4,0,0.902,1,1,0,1,0.902,0.902,1,1,1,1,1,0.902,0.902,0.902,0.902,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902
PI561606:81FE8ABXX:3:A2,0,0.902,1,1,0,1,0.902,1,1,1,0.902,0.902,1,0.902,0.902,0.902,1,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902
Ames23456:81N4HABXX:5:D2,1,0.902,0.902,0.902,0.902,0.902,1,1,1,1,0.902,1,1,0.902,0.902,0.902,0,1,1,1,0.902,0.902,0.902,0.902,0.902
PI550923:81N4HABXX:4:H8,0,0.909,0.909,1,0,1,1,0.909,1,1,1,1,0.909,0.909,0.909,0.909,0.909,0.909,1,1,1,0.909,0.909,0.909,0.909
PI561605:81FE8ABXX:3:F2,0,0.909,1,0.909,0.909,0.909,0,0.909,1,1,0.909,0.909,1,0.909,1,1,1,1,1,1,0.909,0.909,0.909,0.909,0.909
PI561607:81FE8ABXX:2:C9,0,0.909,0.909,0.909,0,1,0.909,1,1,1,1,1,1,1,0.909,0.909,1,1,0.909,0.909,0.909,0.909,0.909,0.909,0.909
Ames23457:81FE8ABXX:6:B4,1,0.909,1,1,1,1,1,0.909,0.909,0.909,1,1,0.909,0.909,0.909,0.909,0,1,1,1,0.909,0.909,0.909,0.909,0.909
PI358525:81FE8ABXX:6:E6,0,0.917,1,1,0,1,1,0.917,0.917,0.917,0.917,1,1,0.917,1,1,0.917,1,1,1,0.917,0.917,0.917,0.917,0.917
PI634206:81FENABXX:2:B7,1,0.917,0.917,0.917,0.917,0.917,1,1,1,1,1,1,0.917,0,0.917,0.917,0.917,1,0.917,0.917,0.917,1,1,1,1
PI594083:81N4HABXX:6:A10,1,0.921,1,0.921,0.921,0.921,1,1,0.921,0.921,0.921,1,1,1,1,1,1,1,1,1,0,0.921,0.921,0.921,0.921
PI221747:81FE8ABXX:7:A12,0,0.929,1,1,0,1,1,1,1,1,0.929,1,1,0.929,1,1,1,1,0.929,0.929,0.929,0.929,0.929,0.929,0.929
PI635135:81N4HABXX:4:C9,0,0.933,0.933,1,0,1,0.933,1,1,1,1,1,1,1,0.933,0.933,1,1,1,1,1,0.933,0.933,0.933,0.933
PI550901:81FE8ABXX:2:E11,0,0.937,1,1,0,1,1,0.937,1,1,1,1,0.937,0.937,1,1,1,1,1,1,1,0.937,0.937,0.937,0.937
PI233315:81FENABXX:2:C10,1,0.945,0.945,0.945,0.945,0.945,0.945,1,1,1,1,0.945,1,0.945,0.945,0.945,1,0.5,1,1,0.945,0.945,0.945,0.945,0.945
PI406128:81FENABXX:1:E9,1,0.945,0.945,1,1,1,1,1,1,1,1,0.945,1,0.945,0.945,0.945,0,1,1,1,1,1,1,1,1
Ames28978:81FE7ABXX:5:C8,1,0.976,1,1,0.5,1,1,1,1,1,0.976,1,1,0.976,1,1,1,1,1,1,0.976,1,1,1,1
Ames10250:81N4HABXX:2:D8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames10256:81N4HABXX:2:G10,0,1,1,0.89,0.89,0.89,1,1,1,1,0.89,1,0,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1,0.89,0.89,0.89,0.89
Ames10259:81N4HABXX:3:F12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames10260:81FE7ABXX:2:H4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames10273:81FE7ABXX:7:C11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames10276:81N4HABXX:3:D3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames10277:81N4HABXX:2:G9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames14112:81FE7ABXX:4:F3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames14408:81FE8ABXX:1:H10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames20116:81FE8ABXX:3:G7,0,1,0.858,0.858,0.858,0.858,1,1,0.858,0.858,0.858,0.858,1,0.858,0.858,0.858,0,1,0.858,0.858,1,0.858,0.858,0.858,0.858
Ames20118:81N4HABXX:3:A5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames20136:81FE7ABXX:1:B2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames20137:81FE7ABXX:1:B12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames22025:81FENABXX:1:C8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames22758:D0D0BACXX:4:F3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames22760:81FE8ABXX:3:G3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames22761:81N4HABXX:5:G8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames22762:81FE7ABXX:7:G5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames22766:81FE8ABXX:2:G9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames2333:81FE8ABXX:1:A3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames2339:81FENABXX:1:A4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames23391:81FENABXX:2:G9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames23398:81FENABXX:2:E9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames23419:81FENABXX:3:C6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames23420:81FE8ABXX:6:D9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames23923:81FE8ABXX:2:B9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames25218:81FE7ABXX:6:B9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26118:81FENABXX:5:A12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26129:81FE7ABXX:1:E7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26130:81FENABXX:4:A12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26131:81FE7ABXX:1:B3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26132:81FE7ABXX:2:B11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26133:81FENABXX:5:A10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26742:81N4HABXX:7:G12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26749:81FE7ABXX:3:G7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26750:81FE7ABXX:3:B10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26751:81FE7ABXX:4:E9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26752:81N4HABXX:7:A3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26776:81FE7ABXX:2:D4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26777:81FENABXX:4:E9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26778:81FENABXX:7:D2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26779:81FENABXX:5:A9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26780:81FENABXX:5:C6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26781:81FENABXX:3:G9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26782:81FE7ABXX:1:H7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26800:81FE7ABXX:5:F7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames26805:81FE7ABXX:5:H11,0,1,1,0.921,0.921,0.921,1,1,1,1,1,1,1,0.921,1,1,0,1,0.921,0.921,0.921,0.921,0.921,0.921,0.921
Ames26806:81FE7ABXX:3:F11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames27075:81FE8ABXX:2:A2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames27077:81FE8ABXX:2:A10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames27202:D0D0BACXX:3:B5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames27209:D0D0BACXX:4:D2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames27211:D0D0BACXX:3:C12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames27444:81FE7ABXX:4:F6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28927:81N4HABXX:3:A2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28928:81FE7ABXX:7:D11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28929:81FE8ABXX:3:C11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28930:81FENABXX:5:B7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28931:81FENABXX:3:G11,0,1,1,0.921,0.921,0.921,0.921,1,1,1,1,1,1,0.921,1,1,0,1,0.921,0.921,1,0.921,0.921,0.921,0.921
Ames28932:81FE7ABXX:1:G7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28933:81FE7ABXX:1:G5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28940:81FENABXX:4:B8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28941:81FENABXX:5:E5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28942:81FENABXX:5:B9,0,1,0.921,0.921,0.921,0.921,1,1,1,1,1,1,0.921,0,1,1,1,1,0.921,0.921,1,0.921,0.921,0.921,0.921
Ames28944:81FE7ABXX:3:F4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28947:81FENABXX:5:H12,0,1,1,0.921,0,1,0.921,1,1,1,1,1,0.921,0.921,1,1,0.921,1,0.921,0.921,1,0.921,0.921,0.921,0.921
Ames28950:81FE7ABXX:2:H10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames28952:81FENABXX:4:F10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ames30862:D0D0BACXX:4:G9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CIze127:81FE7ABXX:1:E2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CIze44:81FE7ABXX:2:C9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL197106:81FE7ABXX:6:G1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL22635:81N4HABXX:1:H10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL246151:D0D0BACXX:4:G12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL250298:D0D0BACXX:4:F12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL250299:D0D0BACXX:4:B1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL30868:81FE8ABXX:4:E5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL42878:81FE8ABXX:6:F7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437899:81N4HABXX:1:C12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437903:81FE7ABXX:5:F5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437909:81FE7ABXX:1:C8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437910:81FENABXX:4:G1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437931:81FENABXX:5:D6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437932:81FE7ABXX:2:H7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437933:81FENABXX:4:B6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437934:81FENABXX:5:H8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437935:81FE7ABXX:1:H11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437936:81FENABXX:6:A2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437937:81FENABXX:5:B2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437939:81FE7ABXX:2:H3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437940:81FE7ABXX:3:A3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL437989:81FENABXX:5:C10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL67786:81FENABXX:5:A5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL67796:81FENABXX:5:F2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSL68245:D0D0BACXX:4:B5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200179:81N4HABXX:7:C12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200180:81FE8ABXX:1:H9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200181:81FENABXX:2:F7,0,1,1,1,0,1,0.909,1,0.909,0.909,1,0.909,1,0.909,1,1,0.909,1,0.909,0.909,0.909,0.909,0.909,0.909,0.909
PI200182:81FENABXX:2:H2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200184:81FE7ABXX:2:D10,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200187:81FE7ABXX:7:D3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200188:81FENABXX:2:D2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200189:81FE8ABXX:6:A12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI200191:81FE8ABXX:5:B11,0,1,0.894,1,0,1,1,1,0.894,0.894,1,1,0.894,0.894,1,1,0,1,1,1,1,1,1,1,1
PI200195:81FENABXX:3:C2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221733:81FE7ABXX:7:B8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221734:81N4HABXX:3:D4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221735:81N4HABXX:3:F9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221736:81FE7ABXX:7:B11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221738:81N4HABXX:2:D12,0,1,0.902,1,0,1,1,1,1,1,0.902,0.902,0.902,0.902,0.902,0.902,0.902,1,0.902,0.902,1,0.902,0.902,0.902,0.902
PI221739:81FE7ABXX:7:C5,0,1,0.909,1,0,1,0.909,1,0.909,0.909,0.909,1,0.909,0.909,1,1,0.909,1,1,1,0.909,0.909,0.909,0.909,0.909
PI221741:81FE7ABXX:2:D11,0,1,0.874,0.874,0.874,0.874,0,1,0.874,0.874,0.874,1,1,0.874,0.874,0.874,1,0.874,1,1,0.874,0.874,0.874,0.874,0.874
PI221743:81FE8ABXX:6:H12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221749:81N4HABXX:1:B6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221750:81N4HABXX:6:E1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI221773:81FE7ABXX:1:A11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI257512:81FENABXX:6:A7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI257515:81FE8ABXX:4:E6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI257516:81FENABXX:6:F11,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI267165:81FENABXX:6:B4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI340812:81N4HABXX:6:C4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PI340865:81FE7ABXX:5:E7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
